nome,genero,presença_plenario,ausencia_plenario,ausencia_justificada_plenario,presenca_comissao,ausencia_comissao,ausencia_justificada_comissao,data_nascimento,gasto_total_par,gasto_jan_par,gasto_fev_par,gasto_mar_par,gasto_abr_par,gasto_maio_par,gasto_junho_par,gasto_jul_par,gasto_agosto_par,gasto_set_par,gasto_out_par,gasto_nov_par,gasto_dez_par,gasto_total_gab,gasto_jan_gab,gasto_fev_gab,gasto_mar_gab,gasto_abr_gab,gasto_maio_gab,gasto_junho_gab,gasto_jul_gab,gasto_agosto_gab,gasto_set_gab,gasto_out_gab,gasto_nov_gab,gasto_dez_gab,salario_bruto_par,quant_viagem
 ALESSANDRO LUCCIOLA MOLON,M,91,1,0,12,28,0, 28/10/1971,255002.23,31570.48,138357.44,,,,,,,,,,0,1030438.74,101372.0,101372.0,101372.0,101372.0,106377.09,105013.12,107668.34,104046.06,98184.61,103661.52,,,33763.0,0
 ALEX SPINELLI MANENTE,M,89,0,3,4,4,1, 22/08/1979,132011.29,15300.72,275467.54,,,,,,,,,,0,1112704.43,111198.59,111198.59,111198.59,110898.74,111423.01,111461.43,110601.41,111574.69,111574.69,111574.69,,,33763.0,0
 ALEXANDRE ROCHA SANTOS PADILHA,M,90,1,1,87,26,6, 14/09/1971,283230.47,28905.73,130339.94,,,,,,,,,,0,1114786.73,111641.51,111641.51,111641.51,111641.51,111641.51,111641.51,110013.14,111641.51,111641.51,111641.51,,,33763.0,0
 ALEXANDRE AUGUSTUS SERFIOTIS,M,0,0,0,0,0,0,,,,,,,,,,,,,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,33763.0,0
 FERNANDO RODOLFO TENORIO DE VASCONCELOS,M,83,5,4,17,51,3, 17/11/1983,295230.86,34398.75,163213.94,,,,,,,,,,0,1015741.66,110824.9,108472.48,109833.05,104726.42,110607.73,107797.77,106334.87,77927.2,90812.99,88404.25,,,33763.0,0
 FERNANDO MONTEIRO DE ALBUQUERQUE,M,87,0,5,17,3,4, 17/09/1976,313976.39,33166.59,151651.85,,,,,,,,,,0,1095114.7,111665.62,111462.42,111451.57,108833.71,111665.62,111665.62,111665.62,110146.43,102361.66,104196.43,,,33763.0,
 FERNANDO BEZERRA DE SOUZA COELHO FILHO,M,81,6,5,6,39,4, 28/02/1984,265195.17,32904.38,193249.63,,,,,,,,,,0,1087816.23,106461.21,106461.21,106461.21,106461.21,107548.75,111277.47,111277.47,110295.4,110786.15,110786.15,,,33763.0,0
 FILIPE BARROS BAPTISTA DE TOLEDO RIBEIRO,M,82,0,10,13,10,3, 29/05/1991,280703.15,39534.77,157576.33,,,,,,,,,,0,938905.52,97669.43,98842.46,98853.61,101434.99,105314.69,105934.61,105601.33,88221.2,71613.4,65419.8,,,33763.0,0
 FLAVIANO FLÁVIO BAPTISTA DE MELO,M,82,0,10,3,1,0, 17/11/1949,437655.1,34282.68,53301.96,,,,,,,,,,0,1104480.65,107904.83,107983.89,111367.03,111659.62,111659.62,111659.62,111659.62,110227.3,110179.56,110179.56,,,33763.0,0
 FLÁVIO RODRIGUES NOGUEIRA,M,91,0,1,39,4,0, 27/02/1953,393018.11,38329.27,57671.36,,,,,,,,,,0,1106884.69,110937.69,110937.69,111074.66,110962.76,111467.18,111544.27,111544.27,111544.27,111544.27,105327.63,,,33763.0,0
 FRANCISCO RODRIGUES VALE JUNIOR,M,87,2,3,25,6,2, 15/03/1969,309142.86,17093.58,89356.62,,,,,,,,,,0,1076485.1,110440.58,110440.58,110440.58,110440.58,108630.41,108370.3,101304.39,105472.56,105472.56,105472.56,,,33763.0,0
 FREDERICO BORGES DA COSTA,M,83,0,9,14,5,1, 12/07/1977,284352.33,14730.3,127550.92,,,,,,,,,,0,1077826.83,110167.89,108567.01,109305.97,109305.97,109563.08,108452.71,101554.25,109006.01,107977.56,103926.38,,,33763.0,0
 FRANCO CARTAFINA GOMES,M,86,3,3,44,15,4, 03/11/1986,317134.14,28065.1,79885.67,,,,,,,,,,0,1112857.76,110962.06,110962.06,110962.06,110962.06,111166.17,111568.67,111568.67,111568.67,111568.67,111568.67,,,33763.0,0
 ANTONIO RIBEIRO,M,86,0,6,30,14,4, 03/03/1944,361093.35,40812.78,101264.81,,,,,,,,,,0,1106146.52,110889.19,110889.19,110889.19,110313.55,109560.78,110047.86,110889.19,110889.19,110889.19,110889.19,,,33763.0,0
 GASTÃO DIAS VIEIRA,M,25,0,0,2,8,0,,121773.41,27260.11,11706.94,,,,,,,,,,0,329174.13,109724.71,109724.71,109724.71,,,,,,,,,,33763.0,0
 GELSON DE AZEVEDO ALMEIDA,M,88,4,0,17,13,0, 10/01/1965,268046.24,17208.87,125313.43,,,,,,,,,,0,1112585.65,111429.1,111429.1,111429.1,111207.7,111523.22,111580.75,111580.75,111580.75,111580.75,109244.43,,,33763.0,0
 GENECIAS MATEUS NORONHA,M,58,3,31,0,0,0, 13/03/1963,177557.54,6912.14,289411.93,,,,,,,,,,0,1012113.82,92989.03,98109.44,100534.9,101430.22,99984.28,106905.63,103040.08,103040.08,103040.08,103040.08,,,33763.0,0
 EUGENIO JOSÉ ZULIANI,M,51,24,17,9,37,17, 13/01/1976,281317.44,35715.9,126161.39,,,,,,,,,,0,1080042.52,111641.38,111641.38,111641.38,106897.3,106370.18,106370.18,106370.18,106370.18,106370.18,106370.18,,,33763.0,0
 GERALDO RESENDE PEREIRA,M,0,0,0,0,0,0,,,,,,,,,,,,,,0,,,,,,,,,,,,,,33763.0,0
 ELIÉSER GIRÃO MONTEIRO FILHO,M,85,3,4,47,6,3, 08/05/1955,353477.47,37148.25,125395.68,,,,,,,,,,0,1114542.85,111550.61,111550.61,111550.61,111550.61,111550.61,110587.36,111550.61,111550.61,111550.61,111550.61,,,33763.0,0
 GERVÁSIO AGRIPINO MAIA,M,81,6,5,36,14,5, 14/04/1975,266572.24,23330.03,205798.42,,,,,,,,,,0,1105894.42,111615.5,110598.88,110561.62,110298.77,109955.04,109955.04,110552.62,111283.45,110263.58,110809.92,,,33763.0,0
 ROBERTO SEBASTIÃO PETERNELLI JUNIOR,M,89,3,0,132,21,0, 06/08/1954,217684.66,17011.69,190084.11,,,,,,,,,,0,730045.66,67824.41,70484.71,70484.71,74499.52,79446.76,86394.48,95109.95,76397.8,54701.66,54701.66,,,33763.0,0
