nome,genero,presença_plenario,ausencia_plenario,ausencia_justificada_plenario,presenca_comissao,ausencia_comissao,ausencia_justificada_comissao,data_nascimento,gasto_total_par,gasto_jan_par,gasto_fev_par,gasto_mar_par,gasto_abr_par,gasto_maio_par,gasto_junho_par,gasto_jul_par,gasto_agosto_par,gasto_set_par,gasto_out_par,gasto_nov_par,gasto_dez_par,gasto_total_gab,gasto_jan_gab,gasto_fev_gab,gasto_mar_gab,gasto_abr_gab,gasto_maio_gab,gasto_junho_gab,gasto_jul_gab,gasto_agosto_gab,gasto_set_gab,gasto_out_gab,gasto_nov_gab,gasto_dez_gab,salario_bruto_par,quant_viagem
 ALENCAR SANTANA BRAGA,M,80,0,12,22,0,1, 14/03/1976,278800.02,34345.52,35493.58,35440.42,38514.9,38770.46,18197.7,26020.76,6807.71,1491.64,43114.24,603.09,0,1110423.93,111647.56,108748.11,110276.93,111574.82,111574.82,111574.82,111574.82,110900.35,111538.44,111013.26,,,33763.0,0
 ALEX SPINELLI MANENTE,M,89,0,3,4,4,1, 22/08/1979,138846.27,15300.72,26359.99,26151.48,23508.22,16355.44,10874.7,4235.82,9077.31,5.81,6976.78,0.0,0,1112704.43,111198.59,111198.59,111198.59,110898.74,111423.01,111461.43,110601.41,111574.69,111574.69,111574.69,,,33763.0,
 ALEX MARCO SANTANA SOUSA,M,79,5,8,11,10,5, 22/06/1972,351477.62,36828.58,40726.95,45254.75,45428.67,30562.91,32839.29,36321.0,33993.98,23336.07,26043.82,141.6,0,1112649.83,110321.85,111060.2,110244.74,111574.72,111574.72,111574.72,111574.72,111574.72,111574.72,111574.72,,,33763.0,0
 ALEXANDRE FROTA DE ANDRADE,M,57,2,33,7,0,5, 14/10/1963,386296.69,47863.87,40252.01,44806.14,24966.69,42290.53,37104.55,24453.51,44820.06,21506.06,35041.99,23191.28,0,1086843.56,107991.6,111429.16,109887.26,108754.73,110016.99,107515.45,106646.5,110875.93,109669.6,104056.34,,,33763.0,0
 ALEXANDRE LEITE DA SILVA,M,87,0,5,56,8,0, 18/04/1989,349284.05,36267.67,43626.71,33452.69,51312.23,48150.79,46525.13,23552.93,23766.2,20428.05,22201.65,0.0,0,947897.17,93571.49,93571.49,93571.49,94428.17,94899.88,94899.88,96331.01,98874.32,93874.72,93874.72,,,33763.0,0
 ALEXANDRE ROCHA SANTOS PADILHA,M,90,1,1,87,27,6, 14/09/1971,291230.47,28905.73,34326.01,51157.02,37221.27,45106.22,23223.65,21479.04,9118.1,10932.37,29600.66,160.4,0,1114786.73,111641.51,111641.51,111641.51,111641.51,111641.51,111641.51,110013.14,111641.51,111641.51,111641.51,,,33763.0,0
 ALEXANDRE BRITO DE FIGUEIREDO,M,19,0,0,5,4,0,,119950.41,38274.79,31223.84,16164.98,34286.8,0.0,,,,,,,0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,33763.0,0
 ALEXANDRE AUGUSTUS SERFIOTIS,M,0,0,0,0,0,0,,,,,,,,,,,,,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,33763.0,0
 FERNANDO BEZERRA DE SOUZA COELHO FILHO,M,81,6,5,6,39,4, 28/02/1984,289091.64,32904.38,35321.53,50966.51,42640.35,22991.65,38141.86,34943.44,7902.03,1571.47,20930.42,778.0,0,1087816.23,106461.21,106461.21,106461.21,106461.21,107548.75,111277.47,111277.47,110295.4,110786.15,110786.15,,,33763.0,0
 FERNANDO RODOLFO TENORIO DE VASCONCELOS,M,83,5,4,17,51,3, 17/11/1983,302649.08,34398.75,35640.31,48456.09,61790.5,42253.99,30175.92,26376.1,10140.69,7883.19,5533.54,0.0,0,1015741.66,110824.9,108472.48,109833.05,104726.42,110607.73,107797.77,106334.87,77927.2,90812.99,88404.25,,,33763.0,0
 FERNANDO MONTEIRO DE ALBUQUERQUE,M,87,0,5,17,3,4, 17/09/1976,320877.65,33166.59,36756.35,50815.63,46090.78,35207.06,35106.58,33522.18,12348.74,7355.49,29824.28,683.97,0,1095114.7,111665.62,111462.42,111451.57,108833.71,111665.62,111665.62,111665.62,110146.43,102361.66,104196.43,,,33763.0,
 FLÁVIO RODRIGUES NOGUEIRA,M,91,0,1,39,4,0, 27/02/1953,395772.41,38329.27,41835.51,39604.13,37048.37,42494.03,47068.0,42082.62,36727.61,36484.39,34098.48,0.0,0,1106884.69,110937.69,110937.69,111074.66,110962.76,111467.18,111544.27,111544.27,111544.27,111544.27,105327.63,,,33763.0,0
 FRANCISCO RODRIGUES VALE JUNIOR,M,87,2,3,25,6,2, 15/03/1969,309142.86,17093.58,30616.27,50032.21,33547.1,38718.63,30008.06,31405.2,20504.95,10000.71,26688.21,20527.94,0,1076485.1,110440.58,110440.58,110440.58,110440.58,108630.41,108370.3,101304.39,105472.56,105472.56,105472.56,,,33763.0,0
 FILIPE BARROS BAPTISTA DE TOLEDO RIBEIRO,M,82,0,10,13,10,3, 29/05/1991,289321.08,39534.77,31282.38,56382.81,46765.21,50641.59,43365.67,18271.75,239.65,40.19,1714.17,1082.89,0,938905.52,97669.43,98842.46,98853.61,101434.99,105314.69,105934.61,105601.33,88221.2,71613.4,65419.8,,,33763.0,0
 FRANCO CARTAFINA GOMES,M,86,3,3,44,15,4, 03/11/1986,318135.2,28065.1,33009.58,43304.17,45119.68,52088.32,34699.31,22247.15,51692.11,5409.62,2332.94,167.22,0,1112857.76,110962.06,110962.06,110962.06,110962.06,111166.17,111568.67,111568.67,111568.67,111568.67,111568.67,,,33763.0,0
 ANTONIO RIBEIRO,M,86,0,6,30,14,4, 03/03/1944,361696.7,40812.78,41699.11,53527.13,42212.73,53135.08,32573.14,21560.81,17788.85,19494.29,37582.25,1310.53,0,1106146.52,110889.19,110889.19,110889.19,110313.55,109560.78,110047.86,110889.19,110889.19,110889.19,110889.19,,,33763.0,0
 FLAVIANO FLÁVIO BAPTISTA DE MELO,M,82,0,10,3,1,0, 17/11/1949,438870.21,34282.68,37155.36,51227.13,29713.9,79405.7,25480.53,38048.4,39592.1,54822.12,29142.29,20000.0,0,1104480.65,107904.83,107983.89,111367.03,111659.62,111659.62,111659.62,111659.62,110227.3,110179.56,110179.56,,,33763.0,0
 FREDERICO BORGES DA COSTA,M,83,0,9,14,5,1, 12/07/1977,285262.12,14730.3,29479.43,41701.41,55095.45,44266.74,24177.23,21336.08,23057.48,15301.98,12687.52,3428.5,0,1077826.83,110167.89,108567.01,109305.97,109305.97,109563.08,108452.71,101554.25,109006.01,107977.56,103926.38,,,33763.0,0
 GELSON DE AZEVEDO ALMEIDA,M,88,4,0,17,13,0, 10/01/1965,320500.73,17208.87,18142.04,73589.54,23955.82,60671.3,21380.73,24088.36,10719.92,15215.86,4613.07,50915.22,0,1112585.65,111429.1,111429.1,111429.1,111207.7,111523.22,111580.75,111580.75,111580.75,111580.75,109244.43,,,33763.0,0
 GASTÃO DIAS VIEIRA,M,25,0,0,2,8,0,,121773.41,27260.11,34401.45,60108.35,3.5,,,,,,,,0,329174.13,109724.71,109724.71,109724.71,,,,,,,,,,33763.0,0
 GERVÁSIO AGRIPINO MAIA,M,81,6,5,36,14,5, 14/04/1975,270049.07,23330.03,37075.33,36581.92,43748.87,45588.36,26193.97,18498.45,14012.0,10194.19,13781.2,1044.75,0,1105894.42,111615.5,110598.88,110561.62,110298.77,109955.04,109955.04,110552.62,111283.45,110263.58,110809.92,,,33763.0,0
 ROBERTO SEBASTIÃO PETERNELLI JUNIOR,M,89,3,0,132,21,0, 06/08/1954,219516.2,17011.69,44800.56,44569.19,22660.96,25933.02,28500.81,13743.54,9053.72,5578.56,7617.8,46.35,0,730045.66,67824.41,70484.71,70484.71,74499.52,79446.76,86394.48,95109.95,76397.8,54701.66,54701.66,,,33763.0,0
 GENECIAS MATEUS NORONHA,M,58,3,31,0,0,0, 13/03/1963,182956.8,6912.14,17143.52,35003.95,26327.99,19477.71,14497.11,13104.39,10260.84,26907.04,13322.11,0.0,0,1012113.82,92989.03,98109.44,100534.9,101430.22,99984.28,106905.63,103040.08,103040.08,103040.08,103040.08,,,33763.0,0
 FERNANDO LÚCIO GIACOBO,M,86,5,1,13,7,1, 17/12/1970,369972.81,27455.42,49074.18,58575.31,7832.83,52242.7,38497.82,8820.58,6333.82,4309.92,66740.23,50090.0,0,1096371.61,110392.0,111089.37,110699.96,111659.53,111616.68,104856.92,111659.53,110779.99,111160.32,102457.31,,,33763.0,
 GERALDO RESENDE PEREIRA,M,0,0,0,0,0,0,,,,,,,,,,,,,,0,,,,,,,,,,,,,,33763.0,0
 ELIÉSER GIRÃO MONTEIRO FILHO,M,85,3,4,47,6,3, 08/05/1955,363091.99,37148.25,58184.62,39315.76,43316.28,45230.05,37619.01,23969.66,26317.64,11257.52,39833.77,899.43,0,1114542.85,111550.61,111550.61,111550.61,111550.61,111550.61,110587.36,111550.61,111550.61,111550.61,111550.61,,,33763.0,0
 EUGENIO JOSÉ ZULIANI,M,51,24,17,9,37,17, 13/01/1976,286007.56,35715.9,40468.18,42837.22,40713.17,63995.25,18553.55,16151.75,15973.11,2755.29,8115.64,728.5,0,1080042.52,111641.38,111641.38,111641.38,106897.3,106370.18,106370.18,106370.18,106370.18,106370.18,106370.18,,,33763.0,0
 GILLIANO FRED NASCIMENTO CUTRIM,M,76,11,5,22,27,4, 26/10/1979,406001.14,46898.79,47176.96,48122.54,51226.09,58582.87,18377.58,25986.45,21934.68,12653.68,75041.5,0.0,0,1115308.02,111301.75,111301.75,111619.5,111641.41,111641.41,111641.41,111641.41,111641.41,111641.41,111236.56,,,33763.0,0
 GILBERTO APARECIDO ABRAMO,M,85,5,2,19,6,1, 06/08/1966,276601.65,18146.52,22003.33,27404.71,34209.75,32718.06,23558.03,15039.8,18280.76,12603.88,12846.34,59790.47,0,1077796.52,106564.34,106564.34,107092.65,108384.08,108384.08,108384.08,107270.71,108384.08,108384.08,108384.08,,,33763.0,0
 GIOVANI CHERINI,M,86,3,3,40,13,3, 23/06/1960,419082.83,35135.42,42357.46,49953.41,49975.7,53766.31,54876.19,39994.44,42715.35,21531.51,27017.18,1759.86,0,1114323.38,111574.7,111574.7,111574.7,111574.7,111574.7,110520.47,111205.28,111574.71,111574.71,111574.71,,,33763.0,0
 GIOVANI BATISTA FELTES,M,91,1,0,18,4,0, 10/04/1957,296462.55,32091.85,37369.29,35989.03,63623.79,29111.39,20875.74,31955.95,26391.45,8680.69,8989.17,1384.2,0,1095245.29,111083.28,111101.04,111544.86,109378.77,108521.73,109627.69,107747.07,108089.89,109075.48,109075.48,,,33763.0,0
 GILBERTO NASCIMENTO SILVA,M,65,0,27,29,9,3, 09/07/1956,404619.88,42667.83,49626.23,52149.16,48827.83,41954.56,33307.84,45287.25,30344.91,25638.8,28819.14,5996.33,0,1077002.9,110917.37,111198.75,111198.75,111198.75,106097.59,109244.31,100666.68,106570.48,106570.48,103339.74,,,33763.0,0
 GILSON MARQUES VIEIRA,M,88,0,4,40,5,5, 12/04/1981,50883.26,3483.84,5736.09,5095.21,6494.69,11767.82,7335.78,6816.37,1383.89,3.11,2766.46,0.0,0,798657.16,78079.2,78079.2,78079.2,79784.92,80772.44,80772.44,80772.44,80772.44,80772.44,80772.44,,,33763.0,0
 ENEIAS JOSÉ DOS REIS,M,0,0,0,0,0,0,,,,,,,,,,,,,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,33763.0,0
 EMANUEL PINHEIRO DA SILVA PRIMO,M,70,19,3,11,7,1, 05/01/1995,260989.2,18918.9,40897.04,43529.5,29158.03,34158.66,52895.35,15688.43,14630.6,825.9,6028.96,4257.83,0,1067534.67,108820.92,109941.35,111435.25,111435.25,110245.56,109803.54,108192.76,97773.24,100583.45,99303.35,,,33763.0,0
 EMIDIO ALVES MADEIRA JUNIOR,M,80,0,12,16,2,4, 10/03/1967,300056.22,56761.57,45061.77,39330.09,32196.96,44434.07,26760.94,20847.93,15245.77,11938.26,7418.86,60.0,0,1114845.39,110980.22,110980.22,111528.12,111617.15,111623.22,111623.22,111623.28,111623.32,111623.32,111623.32,,,33763.0,0
 ENIO JOSÉ VERRI,M,89,1,2,32,4,0, 27/03/1961,350522.15,38190.58,37467.64,68879.63,38986.43,43960.07,29704.02,25886.97,22258.37,24764.98,20363.46,60.0,0,1111367.61,111398.83,111398.83,111398.83,110220.44,110749.59,110538.29,111455.18,110876.18,111665.72,111665.72,,,33763.0,0
 EUCLYDES MARCOS PETTERSEN NETO,M,77,1,14,6,13,6, 15/08/1984,239749.55,39458.55,34224.98,28593.33,36303.64,35945.83,21880.35,11556.55,10510.19,6865.31,11508.98,2901.84,0,1102008.88,101942.13,110241.46,111623.19,111623.22,111623.22,110951.73,109856.3,110901.19,111623.22,111623.22,,,33763.0,
 ENRICO VAN BLARCUM DE GRAAFF MISASI,M,87,5,0,43,21,0, 06/08/1994,323053.98,24947.21,28095.55,42425.59,43740.7,54222.55,37817.19,41206.87,22642.88,16871.36,11025.61,58.47,0,1106991.7,111586.88,111302.18,110816.09,106788.8,110974.2,110159.38,111013.37,111312.77,111544.46,111493.57,,,33763.0,0
 EROS FERREIRA BIONDINI,M,88,0,4,33,14,1, 20/05/1971,281611.85,22401.97,30438.97,33405.69,31526.03,36712.77,29487.2,35290.07,20709.2,17992.3,21750.88,1896.77,0,836020.4,90223.04,90223.04,86035.27,78682.22,79786.71,78922.44,78922.44,79682.04,86771.6,86771.6,,,33763.0,0
 FÁBIO SALUSTINO MESQUITA DE FARIA,M,0,0,0,0,0,0,,,,,,,,,,,,,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,33763.0,0
 EVAIR VIEIRA DE MELO,M,87,2,3,67,4,1, 02/04/1972,316638.7,38264.38,46197.13,62458.72,38441.09,43315.06,24394.91,23069.95,14844.44,2615.55,22921.21,116.26,0,1096962.77,106904.01,110527.26,107201.84,107178.21,108042.26,111172.72,111328.33,111555.88,111526.13,111526.13,,,33763.0,0
 FABIANO GALLETTI TOLENTINO,M,0,0,0,0,0,0,,,,,,,,,,,,,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,33763.0,0
 EVANDRO ROGERIO ROMAN,M,27,0,0,1,7,0,,153891.12,28171.88,39707.18,51447.43,34564.63,,,,,,,,0,353461.3,111151.0,111580.69,111181.91,19547.7,0.0,0.0,0.0,0.0,0.0,0.0,,,33763.0,0
 EXPEDITO GONCALVES FERREIRA NETTO,M,82,1,9,2,16,3, 05/10/1988,222912.39,14767.54,30093.83,33348.33,30510.09,25416.15,18925.02,27570.19,12641.28,1388.85,26729.31,1521.8,0,1099381.29,111544.33,111544.33,111544.33,111529.16,111539.45,111100.52,109785.83,109894.82,110132.19,100766.33,,,33763.0,0
 FABIO HENRIQUE SANTANA DE CARVALHO,M,90,2,0,75,22,0, 19/06/1972,393613.32,40955.79,38278.23,46688.34,53420.14,51837.95,35534.63,55589.55,49846.87,10956.64,10467.67,37.51,0,1103960.07,110763.22,111436.47,110870.47,105066.49,109456.57,110377.32,111465.54,111465.54,111465.54,111592.91,,,33763.0,0
 FÁBIO RICARDO TRAD,M,90,1,1,88,3,0, 18/08/1969,152333.76,9479.45,21339.35,11214.78,41034.1,25209.13,12053.32,5465.7,14089.48,2400.9,10011.5,36.05,0,1112229.14,111501.88,111501.88,111501.88,111324.76,111501.88,111501.88,111501.88,111501.88,110217.75,110173.47,,,33763.0,0
